ID,Archetype,City Type,Income Level,Age,Health Consciousness (1-10),Price Sensitivity (1-10),Brand Loyalty (1-10),Distribution Weight
43,Urban Health Enthusiast,Urban,High,24,8.67,2.36,7.44,15
44,Urban Health Enthusiast,Urban,High,49,8.83,2.27,6.05,15
45,Urban Health Enthusiast,Urban,High,37,9.00,3.18,7.39,15
46,Urban Health Enthusiast,Urban,High,29,9.14,2.14,6.61,15
47,Urban Health Enthusiast,Urban,High,42,8.21,2.94,7.96,15
48,Urban Health Enthusiast,Urban,High,45,9.57,2.50,6.26,15
49,Urban Health Enthusiast,Urban,High,52,8.29,3.78,7.43,15
50,Urban Health Enthusiast,Urban,High,49,8.83,2.91,7.32,15
51,Urban Health Enthusiast,Urban,High,62,9.01,2.37,6.81,15
52,Urban Health Enthusiast,Urban,High,21,8.81,3.59,7.89,15
53,Urban Health Enthusiast,Urban,High,49,8.08,2.02,7.37,15
54,Urban Health Enthusiast,Urban,High,29,8.55,3.92,6.13,15
55,Urban Health Enthusiast,Urban,High,36,9.68,2.99,6.48,15
56,Urban Health Enthusiast,Urban,High,61,9.89,2.61,7.66,15
57,Urban Health Enthusiast,Urban,High,40,9.04,2.20,7.87,15
58,Urban Health Enthusiast,Urban,High,50,9.12,3.28,7.71,15
59,Urban Health Enthusiast,Urban,High,29,9.63,2.64,7.06,15
60,Urban Health Enthusiast,Urban,High,25,8.42,2.66,7.40,15
61,Urban Health Enthusiast,Urban,High,44,9.63,2.06,6.09,15
62,Urban Health Enthusiast,Urban,High,34,9.33,3.74,7.83,15
63,Urban Health Enthusiast,Urban,High,43,9.58,2.75,7.53,15
64,Urban Health Enthusiast,Urban,High,52,9.45,2.31,7.10,15
65,Urban Health Enthusiast,Urban,High,40,8.98,2.77,7.81,15
66,Urban Health Enthusiast,Urban,High,49,8.52,2.96,6.28,15
67,Urban Health Enthusiast,Urban,High,24,9.93,2.17,6.79,15
68,Urban Health Enthusiast,Urban,High,23,9.32,2.83,6.75,15
69,Urban Health Enthusiast,Urban,High,18,9.18,3.42,6.00,15
70,Urban Health Enthusiast,Urban,High,55,8.73,3.21,7.83,15
71,Urban Health Enthusiast,Urban,High,28,9.85,2.29,7.81,15
72,Urban Health Enthusiast,Urban,High,62,8.67,2.85,6.40,15
73,Urban Health Enthusiast,Urban,High,34,8.77,2.69,7.39,15
74,Urban Health Enthusiast,Urban,High,60,9.49,3.98,7.68,15
75,Urban Health Enthusiast,Urban,High,56,8.26,2.07,7.27,15
76,Urban Health Enthusiast,Urban,High,27,8.71,3.21,7.53,15
77,Urban Health Enthusiast,Urban,High,23,9.03,3.07,7.95,15
78,Urban Health Enthusiast,Urban,High,47,8.17,2.38,6.56,15
79,Urban Health Enthusiast,Urban,High,22,8.95,3.92,7.28,15
80,Urban Health Enthusiast,Urban,High,59,9.90,2.08,7.97,15
81,Urban Health Enthusiast,Urban,High,46,8.35,3.80,6.14,15
82,Urban Health Enthusiast,Urban,High,40,8.10,3.14,7.43,15
83,Urban Health Enthusiast,Urban,High,44,8.55,3.89,6.21,15
84,Urban Health Enthusiast,Urban,High,23,8.29,2.12,7.24,15
85,Urban Health Enthusiast,Urban,High,35,8.08,2.19,7.58,15
86,Urban Health Enthusiast,Urban,High,54,8.58,2.65,6.45,15
87,Urban Health Enthusiast,Urban,High,49,9.61,2.71,7.34,15
88,Urban Health Enthusiast,Urban,High,33,8.09,3.47,7.36,15
89,Urban Health Enthusiast,Urban,High,52,8.61,2.37,7.47,15
90,Urban Health Enthusiast,Urban,High,31,9.06,2.59,7.83,15
91,Urban Health Enthusiast,Urban,High,27,8.96,3.43,6.63,15
92,Urban Health Enthusiast,Urban,High,58,8.41,2.16,6.22,15
93,Urban Health Enthusiast,Urban,High,40,9.50,2.06,6.55,15
94,Urban Health Enthusiast,Urban,High,18,8.97,3.22,6.64,15
95,Urban Health Enthusiast,Urban,High,36,9.33,3.11,6.26,15
96,Urban Health Enthusiast,Urban,High,32,8.87,3.73,6.37,15
97,Urban Health Enthusiast,Urban,High,64,9.60,2.88,7.47,15
98,Urban Health Enthusiast,Urban,High,54,9.50,2.19,6.08,15
99,Urban Health Enthusiast,Urban,High,20,9.69,2.88,6.47,15
100,Urban Health Enthusiast,Urban,High,24,8.75,2.15,7.93,15
101,Urban Health Enthusiast,Urban,High,52,9.85,2.43,6.61,15
102,Urban Health Enthusiast,Urban,High,44,9.46,3.84,7.75,15
103,Urban Health Enthusiast,Urban,High,25,8.37,2.74,6.33,15
104,Urban Health Enthusiast,Urban,High,54,9.62,3.15,7.07,15
105,Urban Health Enthusiast,Urban,High,31,8.97,3.68,7.69,15
106,Urban Health Enthusiast,Urban,High,35,9.63,3.47,6.86,15
107,Urban Health Enthusiast,Urban,High,59,9.26,2.09,6.67,15
108,Urban Health Enthusiast,Urban,High,29,8.85,2.90,7.05,15
109,Urban Health Enthusiast,Urban,High,60,9.70,2.07,6.01,15
110,Urban Health Enthusiast,Urban,High,52,9.21,2.87,7.75,15
111,Urban Health Enthusiast,Urban,High,31,9.84,3.30,7.96,15
112,Urban Health Enthusiast,Urban,High,50,9.91,2.62,6.73,15
113,Urban Health Enthusiast,Urban,High,48,9.93,3.81,7.73,15
114,Urban Health Enthusiast,Urban,High,57,9.38,2.58,7.93,15
115,Urban Health Enthusiast,Urban,High,30,8.98,3.23,6.87,15
116,Urban Health Enthusiast,Urban,High,55,9.14,2.74,6.96,15
117,Urban Health Enthusiast,Urban,High,29,8.85,2.66,7.41,15
118,Urban Health Enthusiast,Urban,High,20,8.16,2.69,6.19,15
119,Urban Health Enthusiast,Urban,High,64,8.57,3.81,7.51,15
120,Urban Health Enthusiast,Urban,High,46,8.33,2.84,6.58,15
121,Urban Health Enthusiast,Urban,High,42,8.28,2.09,7.25,15
122,Urban Health Enthusiast,Urban,High,61,8.42,2.97,7.51,15
123,Urban Health Enthusiast,Urban,High,54,8.87,3.11,7.50,15
124,Urban Health Enthusiast,Urban,High,37,8.73,3.95,6.85,15
125,Urban Health Enthusiast,Urban,High,47,8.47,2.26,7.88,15
126,Urban Health Enthusiast,Urban,High,37,9.43,2.47,6.65,15
127,Urban Health Enthusiast,Urban,High,43,8.88,2.79,7.41,15
128,Urban Health Enthusiast,Urban,High,60,9.67,2.74,7.75,15
129,Urban Health Enthusiast,Urban,High,48,9.59,3.16,6.09,15
130,Urban Health Enthusiast,Urban,High,31,8.08,2.91,7.51,15
131,Urban Health Enthusiast,Urban,High,22,8.17,3.72,6.10,15
132,Urban Health Enthusiast,Urban,High,64,8.12,2.61,7.36,15
133,Urban Health Enthusiast,Urban,High,45,8.28,2.28,7.73,15
134,Urban Health Enthusiast,Urban,High,47,8.66,3.55,6.87,15
135,Urban Health Enthusiast,Urban,High,61,8.06,3.28,6.09,15
136,Urban Health Enthusiast,Urban,High,55,9.31,2.88,6.79,15
137,Urban Health Enthusiast,Urban,High,58,9.07,2.52,7.44,15
138,Urban Health Enthusiast,Urban,High,44,9.86,3.45,7.46,15
139,Urban Health Enthusiast,Urban,High,48,8.84,3.83,7.74,15
140,Urban Health Enthusiast,Urban,High,39,8.24,2.75,7.33,15
141,Urban Health Enthusiast,Urban,High,63,9.17,3.53,6.28,15
142,Urban Health Enthusiast,Urban,High,28,8.11,2.06,6.13,15
143,Urban Health Enthusiast,Urban,High,42,9.78,2.77,6.83,15
144,Urban Health Enthusiast,Urban,High,31,9.19,2.08,7.31,15
145,Urban Health Enthusiast,Urban,High,46,8.40,3.99,6.83,15
146,Urban Health Enthusiast,Urban,High,19,9.64,3.97,7.10,15
147,Urban Health Enthusiast,Urban,High,27,8.69,3.14,7.61,15
148,Urban Health Enthusiast,Urban,High,29,8.55,3.65,7.37,15
149,Urban Health Enthusiast,Urban,High,49,8.27,2.72,7.36,15
150,Urban Health Enthusiast,Urban,High,61,9.58,2.24,7.45,15
151,Urban Health Enthusiast,Urban,High,45,9.58,2.07,7.26,15
152,Urban Health Enthusiast,Urban,High,64,8.07,3.07,6.78,15
153,Urban Health Enthusiast,Urban,High,55,8.84,3.66,6.13,15
154,Urban Health Enthusiast,Urban,High,24,9.45,3.29,7.92,15
155,Urban Health Enthusiast,Urban,High,58,8.79,2.51,7.75,15
156,Urban Health Enthusiast,Urban,High,43,9.47,3.34,6.91,15
157,Urban Health Enthusiast,Urban,High,57,9.25,3.80,6.36,15
158,Urban Health Enthusiast,Urban,High,20,8.03,3.12,7.90,15
159,Urban Health Enthusiast,Urban,High,25,9.65,3.06,8.00,15
160,Urban Health Enthusiast,Urban,High,21,9.37,3.06,6.63,15
161,Urban Health Enthusiast,Urban,High,36,8.53,2.04,7.82,15
162,Urban Health Enthusiast,Urban,High,57,9.35,2.57,6.27,15
163,Urban Health Enthusiast,Urban,High,30,9.62,2.07,7.83,15
164,Urban Health Enthusiast,Urban,High,45,8.13,2.51,7.30,15
165,Urban Health Enthusiast,Urban,High,27,8.18,3.58,7.99,15
166,Urban Health Enthusiast,Urban,High,64,8.40,2.95,7.48,15
167,Urban Health Enthusiast,Urban,High,50,8.38,3.55,7.20,15
168,Urban Health Enthusiast,Urban,High,48,8.61,2.26,7.03,15
169,Urban Health Enthusiast,Urban,High,51,8.37,2.13,6.93,15
170,Urban Health Enthusiast,Urban,High,41,8.64,2.46,7.13,15
171,Urban Health Enthusiast,Urban,High,63,9.39,3.55,6.98,15
172,Urban Health Enthusiast,Urban,High,18,8.77,2.80,7.94,15
173,Urban Health Enthusiast,Urban,High,27,9.78,3.86,6.66,15
174,Urban Health Enthusiast,Urban,High,51,9.60,2.51,7.08,15
175,Urban Health Enthusiast,Urban,High,19,8.34,2.51,6.04,15
176,Urban Health Enthusiast,Urban,High,34,8.54,2.67,6.58,15
177,Urban Health Enthusiast,Urban,High,41,9.21,3.65,7.15,15
178,Urban Health Enthusiast,Urban,High,62,9.30,2.01,7.63,15
179,Urban Health Enthusiast,Urban,High,32,9.48,3.70,7.84,15
180,Urban Health Enthusiast,Urban,High,20,9.64,3.61,7.22,15
181,Urban Health Enthusiast,Urban,High,48,9.50,3.47,7.97,15
182,Urban Health Enthusiast,Urban,High,34,8.33,3.68,6.71,15
183,Urban Health Enthusiast,Urban,High,23,8.99,3.22,6.52,15
184,Urban Health Enthusiast,Urban,High,46,8.25,2.25,7.18,15
185,Urban Health Enthusiast,Urban,High,30,9.38,2.89,6.39,15
186,Urban Health Enthusiast,Urban,High,29,9.33,3.95,6.44,15
187,Urban Health Enthusiast,Urban,High,34,8.13,3.64,6.10,15
188,Urban Health Enthusiast,Urban,High,45,9.99,2.56,6.08,15
189,Urban Health Enthusiast,Urban,High,26,8.52,3.52,7.81,15
190,Urban Health Enthusiast,Urban,High,45,9.19,2.35,6.60,15
191,Urban Health Enthusiast,Urban,High,30,9.20,2.43,7.20,15
192,Urban Health Enthusiast,Urban,High,46,8.91,3.52,7.82,15
193,Urban Health Enthusiast,Urban,High,29,8.15,2.49,7.65,15
194,Urban Health Enthusiast,Urban,High,31,9.17,3.71,7.66,15
195,Urban Health Enthusiast,Urban,High,27,9.07,2.25,7.96,15
196,Urban Health Enthusiast,Urban,High,30,8.24,2.48,7.47,15
197,Urban Health Enthusiast,Urban,High,36,8.45,3.43,7.54,15
198,Urban Health Enthusiast,Urban,High,35,8.14,2.27,7.27,15
199,Urban Health Enthusiast,Urban,High,38,8.55,3.78,7.74,15
200,Urban Health Enthusiast,Urban,High,24,9.89,3.87,6.33,15
201,Urban Health Enthusiast,Urban,High,49,9.78,2.35,6.38,15
202,Urban Health Enthusiast,Urban,High,48,8.94,2.94,7.33,15
203,Urban Health Enthusiast,Urban,High,60,8.47,2.34,6.52,15
204,Urban Health Enthusiast,Urban,High,31,9.14,3.74,6.49,15
205,Urban Health Enthusiast,Urban,High,34,8.82,3.07,7.07,15
206,Urban Health Enthusiast,Urban,High,59,8.35,3.58,6.66,15
207,Urban Health Enthusiast,Urban,High,58,9.10,3.60,7.58,15
208,Urban Health Enthusiast,Urban,High,37,9.46,2.34,6.04,15
209,Urban Health Enthusiast,Urban,High,40,9.22,3.31,6.28,15
210,Urban Health Enthusiast,Urban,High,57,8.74,3.70,7.67,15
211,Urban Health Enthusiast,Urban,High,59,9.87,3.84,7.15,15
212,Urban Health Enthusiast,Urban,High,41,9.47,3.44,6.03,15
213,Urban Health Enthusiast,Urban,High,53,8.22,2.14,7.51,15
214,Urban Health Enthusiast,Urban,High,45,9.75,3.05,6.63,15
215,Urban Health Enthusiast,Urban,High,34,9.88,3.70,6.32,15
216,Urban Health Enthusiast,Urban,High,40,9.81,2.39,6.39,15
217,Urban Health Enthusiast,Urban,High,26,9.06,3.03,6.33,15
218,Urban Health Enthusiast,Urban,High,25,8.00,2.19,7.81,15
219,Urban Health Enthusiast,Urban,High,31,9.00,2.03,7.16,15
220,Urban Health Enthusiast,Urban,High,62,8.49,3.88,7.30,15
221,Urban Health Enthusiast,Urban,High,44,9.58,3.17,7.63,15
222,Urban Health Enthusiast,Urban,High,46,9.22,3.88,6.40,15
223,Urban Health Enthusiast,Urban,High,33,8.47,3.56,6.56,15
224,Urban Health Enthusiast,Urban,High,49,9.14,3.62,6.89,15
225,Urban Health Enthusiast,Urban,High,49,9.33,2.97,6.18,15
226,Urban Health Enthusiast,Urban,High,55,9.95,2.78,7.71,15
227,Urban Health Enthusiast,Urban,High,39,9.52,2.60,7.98,15
228,Urban Health Enthusiast,Urban,High,26,9.70,3.98,6.27,15
229,Urban Health Enthusiast,Urban,High,56,9.08,2.94,6.87,15
230,Urban Health Enthusiast,Urban,High,30,8.70,2.64,7.21,15
231,Urban Health Enthusiast,Urban,High,31,8.95,3.11,7.90,15
232,Urban Health Enthusiast,Urban,High,36,9.55,3.44,7.12,15
233,Urban Health Enthusiast,Urban,High,59,8.75,3.00,6.63,15
234,Urban Health Enthusiast,Urban,High,52,8.28,2.12,6.39,15
235,Urban Health Enthusiast,Urban,High,20,8.93,2.80,6.64,15
236,Urban Health Enthusiast,Urban,High,61,9.81,3.64,6.39,15
237,Urban Health Enthusiast,Urban,High,56,8.87,3.31,6.80,15
238,Urban Health Enthusiast,Urban,High,58,9.80,2.62,7.51,15
239,Urban Health Enthusiast,Urban,High,57,8.10,2.19,7.72,15
240,Urban Health Enthusiast,Urban,High,27,8.02,3.97,6.27,15
241,Urban Health Enthusiast,Urban,High,51,9.73,3.80,6.07,15
242,Urban Health Enthusiast,Urban,High,24,9.01,2.58,6.13,15
243,Urban Health Enthusiast,Urban,High,22,9.27,2.36,6.31,15
244,Urban Health Enthusiast,Urban,High,29,8.00,2.41,6.15,15
245,Urban Health Enthusiast,Urban,High,27,8.53,2.29,7.49,15
246,Urban Health Enthusiast,Urban,High,56,9.89,2.39,6.36,15
247,Urban Health Enthusiast,Urban,High,41,9.56,2.99,7.11,15
248,Urban Health Enthusiast,Urban,High,45,8.78,3.02,6.79,15
249,Urban Health Enthusiast,Urban,High,48,8.63,3.33,6.28,15
250,Urban Health Enthusiast,Urban,High,50,9.43,2.86,6.86,15
251,Urban Health Enthusiast,Urban,High,59,8.20,2.42,6.86,15
252,Urban Health Enthusiast,Urban,High,45,9.60,2.56,6.41,15
253,Urban Health Enthusiast,Urban,High,33,8.34,2.17,6.53,15
254,Urban Health Enthusiast,Urban,High,56,9.97,2.50,6.16,15
255,Urban Health Enthusiast,Urban,High,56,9.93,3.68,7.27,15
256,Urban Health Enthusiast,Urban,High,57,8.20,2.42,7.84,15
257,Urban Health Enthusiast,Urban,High,40,8.14,3.59,7.81,15
258,Urban Health Enthusiast,Urban,High,51,8.06,2.50,7.91,15
259,Urban Health Enthusiast,Urban,High,58,8.95,3.22,6.59,15
260,Urban Health Enthusiast,Urban,High,34,9.52,2.97,6.60,15
261,Urban Health Enthusiast,Urban,High,47,9.21,2.94,7.71,15
262,Urban Health Enthusiast,Urban,High,63,9.70,2.54,7.96,15
263,Urban Health Enthusiast,Urban,High,23,8.22,2.54,6.46,15
264,Urban Health Enthusiast,Urban,High,51,8.50,3.39,7.61,15
265,Urban Health Enthusiast,Urban,High,29,8.75,3.40,6.05,15
266,Urban Health Enthusiast,Urban,High,43,8.82,2.49,7.80,15
267,Urban Health Enthusiast,Urban,High,38,8.74,2.43,7.66,15
268,Urban Health Enthusiast,Urban,High,29,8.03,2.59,7.04,15
269,Urban Health Enthusiast,Urban,High,23,8.93,3.89,7.90,15
270,Urban Health Enthusiast,Urban,High,57,8.33,3.01,7.49,15
271,Urban Health Enthusiast,Urban,High,60,9.85,2.06,7.98,15
272,Urban Health Enthusiast,Urban,High,19,8.29,2.07,7.10,15
273,Urban Health Enthusiast,Urban,High,64,8.42,3.77,6.27,15
274,Urban Health Enthusiast,Urban,High,33,8.84,2.25,6.16,15
275,Urban Health Enthusiast,Urban,High,64,9.35,3.18,6.88,15
276,Urban Health Enthusiast,Urban,High,43,8.76,2.95,6.17,15
277,Urban Health Enthusiast,Urban,High,64,8.71,2.04,6.78,15
278,Urban Health Enthusiast,Urban,High,29,8.39,2.56,6.00,15
279,Urban Health Enthusiast,Urban,High,48,8.42,3.85,7.03,15
280,Urban Health Enthusiast,Urban,High,59,8.27,3.33,6.36,15
281,Urban Health Enthusiast,Urban,High,40,8.97,3.13,6.66,15
282,Urban Health Enthusiast,Urban,High,56,8.14,3.48,6.53,15
283,Urban Health Enthusiast,Urban,High,20,8.39,3.24,7.67,15
284,Urban Health Enthusiast,Urban,High,60,9.25,3.85,6.40,15
285,Urban Health Enthusiast,Urban,High,43,8.92,2.12,7.07,15
286,Urban Health Enthusiast,Urban,High,27,9.60,2.80,7.90,15
287,Urban Health Enthusiast,Urban,High,51,9.73,2.99,7.07,15
288,Urban Health Enthusiast,Urban,High,22,8.66,3.18,7.11,15
289,Urban Health Enthusiast,Urban,High,23,9.24,2.06,6.94,15
290,Urban Health Enthusiast,Urban,High,64,9.53,3.26,7.12,15
291,Urban Health Enthusiast,Urban,High,47,9.08,3.76,7.42,15
292,Urban Health Enthusiast,Urban,High,58,9.50,3.44,6.81,15
293,Urban Health Enthusiast,Urban,High,31,9.43,3.56,6.40,15
294,Urban Health Enthusiast,Urban,High,48,9.50,3.60,7.54,15
295,Urban Health Enthusiast,Urban,High,36,9.17,2.84,6.27,15
296,Urban Health Enthusiast,Urban,High,57,8.34,3.52,6.34,15
297,Urban Health Enthusiast,Urban,High,30,9.65,2.64,6.31,15
298,Urban Health Enthusiast,Urban,High,31,8.41,2.26,6.99,15
299,Urban Health Enthusiast,Urban,High,48,8.64,2.39,7.01,15
300,Urban Health Enthusiast,Urban,High,44,8.20,2.33,7.97,15
301,Urban Health Enthusiast,Urban,High,25,9.74,3.75,7.84,15
302,Urban Health Enthusiast,Urban,High,40,8.59,2.19,6.25,15
303,Urban Health Enthusiast,Urban,High,58,8.70,3.33,6.27,15
304,Urban Health Enthusiast,Urban,High,30,8.45,3.78,7.52,15
305,Urban Health Enthusiast,Urban,High,63,9.72,3.21,7.30,15
306,Urban Health Enthusiast,Urban,High,33,8.03,3.71,6.18,15
307,Urban Health Enthusiast,Urban,High,55,9.49,2.87,6.04,15
308,Urban Health Enthusiast,Urban,High,40,9.23,3.60,6.18,15
309,Urban Health Enthusiast,Urban,High,52,8.12,3.99,6.69,15
310,Urban Health Enthusiast,Urban,High,36,9.76,3.61,7.55,15
311,Urban Health Enthusiast,Urban,High,64,8.65,2.64,6.92,15
312,Urban Health Enthusiast,Urban,High,27,9.79,2.39,7.39,15
313,Urban Health Enthusiast,Urban,High,49,8.21,3.04,6.06,15
314,Urban Health Enthusiast,Urban,High,31,9.76,2.84,6.04,15
315,Urban Health Enthusiast,Urban,High,28,9.56,2.85,6.91,15
316,Urban Health Enthusiast,Urban,High,51,9.86,2.38,6.06,15
317,Urban Health Enthusiast,Urban,High,48,9.32,2.15,6.07,15
318,Urban Health Enthusiast,Urban,High,59,9.29,2.50,7.34,15
319,Urban Health Enthusiast,Urban,High,19,8.84,2.08,6.03,15
320,Urban Health Enthusiast,Urban,High,39,8.69,2.84,6.63,15
321,Urban Health Enthusiast,Urban,High,47,9.92,2.35,7.56,15
322,Urban Health Enthusiast,Urban,High,60,8.47,2.41,6.59,15
323,Urban Health Enthusiast,Urban,High,33,9.89,3.10,6.62,15
324,Urban Health Enthusiast,Urban,High,30,8.13,3.88,7.99,15
325,Urban Health Enthusiast,Urban,High,35,9.82,3.17,6.12,15
326,Urban Health Enthusiast,Urban,High,52,8.58,3.90,7.34,15
327,Urban Health Enthusiast,Urban,High,54,9.07,2.79,7.46,15
328,Urban Health Enthusiast,Urban,High,19,8.57,3.47,7.52,15
329,Urban Health Enthusiast,Urban,High,18,9.72,2.25,6.58,15
330,Urban Health Enthusiast,Urban,High,29,8.17,3.86,6.35,15
331,Urban Health Enthusiast,Urban,High,34,8.62,3.98,7.52,15
332,Urban Health Enthusiast,Urban,High,26,9.60,3.00,7.05,15
333,Urban Health Enthusiast,Urban,High,64,9.72,3.51,7.05,15
334,Urban Health Enthusiast,Urban,High,40,8.29,2.43,7.23,15
335,Urban Health Enthusiast,Urban,High,57,9.07,2.84,6.65,15
336,Urban Health Enthusiast,Urban,High,37,9.37,3.15,6.13,15
337,Urban Health Enthusiast,Urban,High,19,8.94,2.58,6.40,15
338,Urban Health Enthusiast,Urban,High,54,9.45,3.80,7.87,15
339,Urban Health Enthusiast,Urban,High,51,8.34,3.96,7.35,15
340,Urban Health Enthusiast,Urban,High,50,9.96,3.53,6.86,15
341,Urban Health Enthusiast,Urban,High,32,8.22,2.85,6.18,15
342,Urban Health Enthusiast,Urban,High,43,9.17,3.68,7.40,15
343,Urban Health Enthusiast,Urban,High,52,8.60,3.61,6.52,15
344,Urban Health Enthusiast,Urban,High,41,9.15,3.90,6.20,15
345,Urban Health Enthusiast,Urban,High,45,8.98,3.14,7.89,15
346,Urban Health Enthusiast,Urban,High,47,9.79,2.47,7.84,15
347,Urban Health Enthusiast,Urban,High,18,8.70,2.17,7.23,15
348,Urban Health Enthusiast,Urban,High,57,8.20,2.24,7.12,15
349,Urban Health Enthusiast,Urban,High,46,9.54,2.10,7.89,15
350,Urban Health Enthusiast,Urban,High,19,8.42,3.66,7.14,15
351,Urban Health Enthusiast,Urban,High,29,8.36,2.42,7.60,15
352,Urban Health Enthusiast,Urban,High,35,9.87,2.68,6.83,15
353,Urban Health Enthusiast,Urban,High,63,8.44,3.57,7.24,15
354,Urban Health Enthusiast,Urban,High,23,8.83,2.40,6.59,15
355,Urban Health Enthusiast,Urban,High,49,8.37,2.39,6.07,15
356,Urban Health Enthusiast,Urban,High,28,8.86,2.92,6.45,15
357,Urban Health Enthusiast,Urban,High,25,8.88,2.66,6.87,15
358,Urban Health Enthusiast,Urban,High,44,8.21,3.51,7.23,15
359,Urban Health Enthusiast,Urban,High,20,8.77,2.87,6.30,15
360,Urban Health Enthusiast,Urban,High,33,8.59,3.78,6.28,15
361,Urban Health Enthusiast,Urban,High,51,8.15,2.93,6.43,15
362,Urban Health Enthusiast,Urban,High,54,9.70,2.72,7.84,15
363,Urban Health Enthusiast,Urban,High,25,9.84,3.19,6.27,15
364,Urban Health Enthusiast,Urban,High,51,10.00,3.00,6.54,15
365,Urban Health Enthusiast,Urban,High,25,8.37,3.70,7.90,15
366,Urban Health Enthusiast,Urban,High,26,9.90,2.81,6.14,15
367,Urban Health Enthusiast,Urban,High,30,9.08,3.20,7.39,15
368,Urban Health Enthusiast,Urban,High,39,9.56,2.75,6.05,15
369,Urban Health Enthusiast,Urban,High,27,9.81,2.62,7.79,15
370,Urban Health Enthusiast,Urban,High,60,8.40,3.49,6.86,15
371,Urban Health Enthusiast,Urban,High,20,8.07,2.12,6.40,15
372,Urban Health Enthusiast,Urban,High,35,8.24,2.73,6.81,15
373,Urban Health Enthusiast,Urban,High,44,8.79,3.75,7.52,15
374,Urban Health Enthusiast,Urban,High,49,9.17,3.88,7.59,15
375,Urban Health Enthusiast,Urban,High,24,9.17,3.00,6.88,15
376,Urban Health Enthusiast,Urban,High,49,8.58,3.97,6.87,15
377,Urban Health Enthusiast,Urban,High,33,9.07,3.12,7.21,15
378,Urban Health Enthusiast,Urban,High,45,9.39,3.51,7.58,15
379,Urban Health Enthusiast,Urban,High,33,8.92,3.63,6.96,15
380,Urban Health Enthusiast,Urban,High,46,8.16,3.91,7.25,15
381,Urban Health Enthusiast,Urban,High,51,9.34,2.85,7.77,15
382,Urban Health Enthusiast,Urban,High,28,8.75,2.88,7.07,15
383,Urban Health Enthusiast,Urban,High,26,8.22,3.53,6.09,15
384,Urban Health Enthusiast,Urban,High,30,9.29,3.51,7.45,15
385,Urban Health Enthusiast,Urban,High,36,9.92,3.91,7.31,15
